name,category,group,satisfied_with_area,local_govt_responsive,police_approval,suitable_employment,good_to_raise_kids,good_cond_of_parks,influence_over_local_govt,access_to_car,evicted,received_evict_notice,locations_in_walking_dist,safe_sidewalks,safe_biking,rec_facilities_avail,trust_neighbors,youth_have_role_models,neighbors_improving_area,safe_walking_at_night,would_save_fire_station,youth_likely_graduate_hs,youth_likely_job_w_opportunity,youth_likely_in_gang,youth_likely_abuse_drugs_alc,youth_likely_felony,very_good_self_rate_health,life_satisfaction,happy,anxious,diabetes,have_health_insurance,didnt_get_med_care,postponed_med_care,couldnt_afford_rx,altered_rx,asthma,no_medical_home,visited_er,dental_visit_past_yr,receive_emotional_support,depression,smoking,heavy_drinking,know_someone_abusing_opioids,know_someone_died_opioids,financial_insecurity,less_than_2mo_savings,negative_net_worth,underemployment,no_bank_account,food_insecurity,housing_insecurity,utility_insecurity,discrim_in_workplace,discrim_by_police,discrim_getting_service,discrim_in_housing,discrim_in_healthcare
Connecticut,Race/Ethnicity,Latino,0.8,0.46,0.66,0.45,0.6,0.64,0.69,0.78,0.1,0.04,0.74,0.73,0.64,0.75,0.7,0.66,0.69,0.57,0.78,0.78,0.59,0.24,0.39,0.28,0.57,0.57,0.6,0.2,0.09,0.89,0.16,0.26,0.18,,0.17,0.21,0.36,0.71,0.59,0.17,0.16,0.06,0.28,0.21,0.43,0.47,0.26,0.26,0.24,0.28,0.13,0.2,0.26,0.17,0.17,0.1,0.17
Connecticut,With children,No children in household,0.81,0.51,0.78,0.49,0.74,0.75,0.7,0.88,0.05,0.01,0.53,0.6,0.62,0.68,0.85,0.77,0.77,0.69,0.85,0.89,0.57,0.08,0.29,0.12,0.57,0.66,0.7,0.12,0.12,0.95,0.08,0.21,0.07,0.06,0.1,0.11,0.26,0.74,0.72,0.1,0.13,0.06,0.31,0.24,0.3,0.3,0.15,0.17,0.08,0.11,0.07,0.07,0.26,0.1,0.08,0.03,0.1
Connecticut,With children,Children in household,0.82,0.51,0.77,0.54,0.75,0.73,0.73,0.9,0.1,0.02,0.57,0.61,0.63,0.72,0.84,0.78,0.79,0.71,0.84,0.88,0.63,0.1,0.27,0.12,0.64,0.67,0.69,0.13,0.06,0.94,0.11,0.27,0.11,0.07,0.12,0.14,0.28,0.75,0.68,0.1,0.15,0.06,0.34,0.24,0.38,0.38,0.2,0.13,0.1,0.17,0.1,0.16,0.3,0.13,0.14,0.05,0.12
Danbury,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,0.15,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,0.1
Danbury,Total,Total,0.85,0.58,0.84,0.54,0.73,0.7,0.68,0.95,,,0.45,0.43,0.42,0.57,0.85,0.79,0.78,0.7,,0.93,0.64,0.08,0.23,0.09,0.65,0.67,0.71,0.12,0.07,0.95,0.1,0.22,0.09,,0.09,0.15,0.23,0.77,0.68,0.07,0.15,0.08,0.34,0.23,0.31,0.32,0.14,0.1,0.08,0.11,0.07,0.05,0.26,0.07,,0.03,0.09
Danbury,Gender,Male,0.88,0.59,0.81,0.56,0.74,0.64,0.71,0.95,,,0.5,0.51,0.47,0.64,0.92,0.8,0.78,0.73,,0.96,0.66,0.11,0.31,0.1,0.66,0.69,0.68,0.13,0.07,0.9,0.08,0.16,0.07,,,,0.22,0.76,0.69,0.08,0.19,0.08,0.35,0.22,0.23,0.34,0.13,,0.1,0.09,0.06,,0.2,0.12,,0.01,0.04
Danbury,Gender,Female,0.81,0.58,0.85,0.53,0.74,0.76,0.66,0.96,,,0.4,0.36,0.38,0.51,0.78,0.78,0.76,0.67,,0.92,0.63,0.05,0.18,0.09,0.63,0.65,0.74,0.11,0.06,0.98,0.11,0.28,0.1,,,,0.26,0.79,0.67,0.05,0.12,0.06,0.34,0.25,0.4,0.32,0.15,,0.06,0.13,0.09,,0.31,0.03,,0.04,0.14
Danbury,Age,Ages 18-34,0.83,0.43,0.76,0.46,0.65,0.59,0.65,0.97,,,0.54,0.53,0.49,0.67,0.83,0.78,0.72,0.7,,,,,,,0.7,0.54,0.61,0.24,0,0.91,0.09,0.29,0.09,,,,0.23,0.67,0.54,0.15,,0.11,,,0.37,,,,0.08,0.15,0.08,,,0.08,,,
Danbury,Age,Ages 35-49,0.89,0.54,0.82,0.58,0.82,0.78,0.66,0.96,,,0.48,0.4,0.4,0.62,0.86,0.79,0.8,0.73,,,,,,,0.66,0.63,0.76,0.07,0.04,0.98,0.09,0.26,0.12,,,,0.23,0.72,0.64,0.04,,,,,0.41,,,,0.07,0.15,0.11,,,0.09,,,
Danbury,Age,Ages 50-64,0.8,0.71,0.87,0.53,0.71,0.68,0.71,0.95,,,0.41,0.39,0.38,0.47,0.84,0.81,0.76,0.69,,,,,,,0.62,0.77,0.76,0.08,0.1,0.96,0.11,0.26,0.1,,,,0.26,0.86,0.79,0.05,,0.04,,,0.32,,,,0.1,0.09,0.08,,,0.08,,,
Danbury,Age,Ages 65+,0.85,0.67,0.93,0.67,0.83,0.82,0.77,0.93,,,0.33,0.39,0.4,0.46,0.9,0.87,0.84,0.68,,,,,,,0.54,0.77,0.79,0.06,0.17,0.99,0.07,0.04,0.03,,,,0.22,0.85,0.81,0.02,,0,,,0.12,,,,0.03,0.03,0.01,,,0.04,,,
Danbury,Education,Bachelor's or higher,0.86,0.63,0.86,0.58,0.76,0.73,0.74,0.98,,,0.34,0.31,0.36,0.57,0.88,0.81,0.78,0.74,,,,,,,0.72,0.72,0.76,0.11,0.06,1,0.08,0.19,0.06,,,,0.22,0.77,0.73,0.07,0.09,0.06,,,0.23,,,,0.05,0.05,0.05,,,0.06,,,
Danbury,Education,High school or less,0.81,0.54,0.81,0.44,0.71,0.71,0.64,0.87,,,0.63,0.62,0.52,0.56,0.83,0.83,0.82,0.64,,,,,,,0.56,0.66,0.65,0.14,0.09,0.86,0.12,0.26,0.13,,,,0.27,0.79,0.65,0.07,0.27,0.09,,,0.41,,,,0.18,0.17,0.06,,,0.13,,,
Danbury,Education,Some college or Associate's,0.84,0.52,0.79,0.58,0.74,0.67,0.6,1,,,0.49,0.52,0.44,0.6,0.82,0.75,0.68,0.66,,,,,,,0.6,0.56,0.69,0.12,0.05,0.94,0.11,0.26,0.11,,,,0.21,0.73,0.62,0.06,,,,,0.38,,,,0.03,0.17,0.14,,,0.05,,,
Danbury,Income,$75K+,0.82,0.52,0.86,0.61,0.73,0.7,0.7,0.99,,,0.38,0.34,0.42,0.59,0.86,0.8,0.76,0.73,,,,,,,0.69,0.69,0.74,0.1,0.05,0.99,0.07,0.21,0.08,,,,0.24,0.82,0.73,0.04,0.11,0.08,,,0.25,,,,0.05,0.11,0.08,,,0.07,,,
Danbury,Income,<$30K,0.78,0.56,0.81,0.28,0.59,0.68,0.59,0.9,,,0.59,0.54,0.43,0.52,0.77,0.65,0.71,0.57,,,,,,,0.53,0.48,0.59,0.23,0.07,0.79,0.17,0.41,0.19,,,,0.32,0.67,0.48,0.15,,,,,0.61,,,,0.09,0.17,0.09,,,0.12,,,
Danbury,Income,$30K-$75K,0.89,0.6,0.78,0.53,0.77,0.68,0.67,0.96,,,0.49,0.57,0.41,0.57,0.86,0.81,0.81,0.73,,,,,,,0.68,0.66,0.69,0.14,0.09,0.95,0.1,0.23,0.09,,,,0.17,0.68,0.62,0.1,0.2,0.06,,,0.39,,,,0.08,0.11,0.08,,,0.06,,,
Danbury,Race/Ethnicity,White,0.87,0.62,0.89,0.57,0.78,0.73,0.72,0.96,,,0.4,0.39,0.38,0.54,0.86,0.81,0.77,0.73,,,,,,,0.67,0.72,0.73,0.09,0.07,0.96,0.1,0.21,0.1,,,,0.24,0.79,0.72,0.04,,0.04,,,0.28,,,,0.05,0.08,0.05,,,0.06,,,
Danbury,Race/Ethnicity,Not white,0.79,0.49,0.7,0.47,0.66,0.64,0.61,0.94,,,0.56,0.51,0.49,0.65,0.83,0.76,0.76,0.6,,,,,,,0.58,0.57,0.67,0.18,0.06,0.91,0.09,0.27,0.07,,,,0.22,0.69,0.57,0.14,,0.14,,,0.39,,,,0.16,0.19,0.13,,,0.08,,,
Danbury,With children,No children in household,0.83,0.6,0.85,0.54,0.7,0.71,0.69,0.95,,,0.46,0.44,0.42,0.53,0.84,0.77,0.75,0.68,,0.94,0.66,0.04,0.23,0.09,0.63,0.67,0.74,0.13,0.09,0.95,0.09,0.17,0.07,,,,0.21,0.76,0.72,0.07,,0.07,,,0.28,0.24,0.12,,0.08,0.08,0.06,0.05,0.24,0.06,,0.03,0.11
Danbury,With children,Children in household,0.89,0.53,0.81,0.55,0.8,0.67,0.67,0.97,,,0.43,0.41,0.42,0.64,0.88,0.87,0.83,0.74,,0.92,0.62,0.16,0.27,0.13,0.68,0.67,0.68,0.11,0.03,0.94,0.1,0.32,0.13,,,,0.29,0.8,0.61,0.07,,0.09,,,0.37,0.52,0.17,,0.08,0.17,0.09,0.07,0.3,0.08,,0.02,0.07
Darien,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,
Darien,Total,Total,0.94,0.72,0.94,0.68,0.9,0.91,0.81,0.98,,,0.58,0.65,0.53,0.77,0.97,0.94,0.93,0.86,,0.99,0.84,0.01,0.24,0.01,0.76,0.78,0.72,0.1,0.03,0.98,0.04,0.17,0.04,,0.04,0.05,0.13,0.91,0.82,0.02,,0.02,0.17,0.14,0.23,0.09,0.04,,0.04,0.03,0.03,0.06,0.26,0.04,,0.04,
Darien,Gender,Male,0.96,0.7,0.94,0.68,0.96,0.94,0.84,0.97,,,0.58,0.69,0.58,0.84,0.99,1,0.94,0.91,,,,,,,0.72,0.85,0.76,0.04,0.03,0.98,0.02,0.09,0.01,,,,0.18,0.91,0.8,0,,,,,0.23,,,,0.04,0.02,0.03,,,,,,
Darien,Gender,Female,0.92,0.73,0.94,0.67,0.84,0.89,0.79,0.99,,,0.59,0.6,0.47,0.71,0.95,0.88,0.91,0.84,,,,,,,0.79,0.73,0.68,0.16,0.02,0.98,0.07,0.24,0.08,,,,0.08,0.92,0.81,0.04,,,,,0.27,,,,0.04,0.03,0.03,,,,,,
Derby,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,0.1
Derby,Total,Total,0.81,0.48,0.71,0.45,0.62,0.7,0.68,0.94,,,0.54,0.58,0.64,0.73,0.86,0.73,0.83,0.76,,0.91,0.47,0.03,0.25,0.04,0.56,0.67,0.68,0.08,0.08,0.97,0.05,0.18,0.07,,0.09,0.09,0.22,0.69,0.74,0.07,0.1,0.11,0.29,0.21,0.32,0.47,0.15,,0.08,0.08,0.03,0.14,0.13,0.09,,0,0.12
Derby,Gender,Male,0.84,0.52,0.74,0.53,0.7,0.71,0.64,0.94,,,0.48,0.5,0.64,0.78,0.86,0.82,0.83,0.8,,,,,,,0.59,0.64,0.68,0.09,0.09,0.97,0.07,0.14,0.1,,0.06,0.08,0.19,0.63,0.79,0.08,,0.14,,,0.26,,,,0.09,0.08,0.03,,,0.13,,,
Derby,Gender,Female,0.77,0.41,0.68,0.37,0.55,0.69,0.71,0.96,,,0.6,0.68,0.63,0.7,0.86,0.62,0.83,0.71,,,,,,,0.54,0.7,0.7,0.06,0.07,0.98,0.04,0.22,0.05,,0.12,0.11,0.24,0.77,0.69,0.08,,0.07,,,0.38,,,,0.07,0.08,0.02,,,0.05,,,
Derby,Age,Under age 55,0.84,0.53,0.71,0.47,0.64,0.74,0.67,0.96,,,0.61,0.68,0.67,0.8,0.85,0.71,0.85,0.8,,,,,,,0.59,0.62,0.63,0.1,0.06,0.98,0.06,0.21,0.06,,0.08,0.14,0.16,0.65,0.71,0.08,,0.16,,,0.34,,,,0.1,0.08,0.03,,,0.09,,,
Derby,Age,Age 55 or older,0.74,0.39,0.71,0.44,0.6,0.64,0.69,0.93,,,0.44,0.44,0.58,0.64,0.87,0.76,0.78,0.68,,,,,,,0.52,0.74,0.78,0.05,0.11,0.96,0.05,0.14,0.1,,0.1,0.02,0.3,0.76,0.75,0.06,,0.04,,,0.31,,,,0.06,0.08,0.02,,,0.09,,,
Derby,Education,Some college or less,0.81,0.44,0.67,0.44,0.66,0.7,0.66,0.93,,,0.55,0.63,0.66,0.72,0.87,0.75,0.87,0.72,,,,,,,0.59,0.65,0.67,0.06,0.11,0.96,0.09,0.2,0.09,,0.1,0.07,0.19,0.66,0.77,0.09,,0.05,,,0.36,,,,0.09,0.11,0.01,,,0.1,,,
Derby,Education,Bachelor's or higher,0.8,0.51,0.79,0.48,0.57,0.71,0.72,0.99,,,0.52,0.52,0.6,0.75,0.86,0.7,0.74,0.8,,,,,,,0.51,0.71,0.72,0.1,0.03,0.99,0,0.15,0.05,,0.08,0.12,0.25,0.75,0.67,0.05,,0.27,,,0.26,,,,0.07,0.03,0.05,,,0.08,,,
East Hartford,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,,,,,,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,,,,0.09,0.13,0.08,0.1,,0.11,,,0.1
East Hartford,Total,Total,0.77,0.34,0.67,0.38,0.55,0.62,0.59,0.82,,,0.69,0.88,0.8,0.81,0.77,0.66,0.68,0.59,,,,,,,0.56,0.5,0.67,0.14,0.2,0.91,0.13,0.26,0.2,,0.11,,0.26,0.67,0.55,0.11,0.19,0.07,0.23,0.19,0.44,,,,0.13,0.18,0.1,0.25,,0.15,,,0.13
East Haven,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,0.1
East Haven,Total,Total,0.82,0.46,0.85,0.49,0.76,0.63,0.59,0.91,,,0.69,0.63,0.54,0.62,0.86,0.73,0.72,0.73,,0.78,0.42,0.07,0.38,0.09,0.54,0.65,0.65,0.11,0.13,0.95,0.09,0.23,0.11,,0.09,0.13,0.31,0.7,0.71,0.12,0.19,0.1,0.3,0.21,0.32,0.36,0.16,,0.06,0.11,0.08,0.14,0.26,0.07,,0.08,0.08
East Haven,Gender,Male,0.78,0.37,0.86,0.35,0.68,0.6,0.63,0.93,,,0.61,0.57,0.53,0.56,0.86,0.64,0.68,0.83,,,,,,,0.49,0.63,0.58,0.12,0.2,0.93,0.1,0.23,0.07,,,,0.31,0.65,0.71,0.13,,,,,0.34,,,,0.03,0.11,0.09,,,0.09,,,
East Haven,Gender,Female,0.86,0.55,0.83,0.61,0.8,0.67,0.6,0.91,,,0.75,0.68,0.54,0.68,0.84,0.81,0.77,0.64,,,,,,,0.58,0.67,0.69,0.1,0.06,0.97,0.08,0.23,0.15,,,,0.32,0.75,0.74,0.11,,,,,0.29,,,,0.09,0.11,0.07,,,0.04,,,
East Haven,Age,Under age 55,0.83,0.48,0.84,0.48,0.75,0.61,0.59,0.92,,,0.75,0.57,0.55,0.65,0.81,0.68,0.65,0.78,,,,,,,0.6,0.65,0.61,0.13,0.02,0.91,0.14,0.31,0.13,,,,0.26,0.63,0.71,0.13,,,,,0.4,,,,0.07,0.12,0.09,,,0.08,,,
East Haven,Age,Age 55 or older,0.81,0.42,0.87,0.49,0.76,0.68,0.62,0.92,,,0.59,0.72,0.52,0.58,0.93,0.82,0.84,0.65,,,,,,,0.45,0.64,0.69,0.08,0.29,0.99,0.03,0.11,0.09,,,,0.39,0.79,0.75,0.11,,,,,0.21,,,,0.04,0.1,0.05,,,0.06,,,
East Haven,Education,High school or less,0.87,0.45,0.81,0.6,0.82,0.69,0.66,0.82,,,0.71,0.72,0.6,0.64,0.95,0.82,0.83,0.85,,,,,,,0.45,0.54,0.57,0.18,0.09,0.98,0.1,0.21,0.1,,,,0.3,0.67,0.52,0.23,,,,,0.38,,,,0.12,0.15,0.04,,,0.02,,,
East Haven,Education,Some college or higher,0.81,0.47,0.86,0.44,0.72,0.62,0.59,0.96,,,0.66,0.58,0.49,0.6,0.81,0.69,0.7,0.68,,,,,,,0.59,0.72,0.68,0.08,0.15,0.94,0.07,0.23,0.12,,,,0.33,0.71,0.83,0.07,,,,,0.28,,,,0.03,0.09,0.09,,,0.09,,,
East Haven,Income,<$75K,0.81,0.54,0.8,0.5,0.79,0.73,0.63,0.9,,,0.73,0.67,0.5,0.68,0.88,0.82,0.78,0.67,,,,,,,0.5,0.6,0.66,0.08,0.16,0.9,0.12,0.2,0.17,,,,0.34,0.71,0.7,0.11,,,,,0.38,,,,0.09,0.15,0.13,,,0.09,,,
East Haven,Income,$75K+,0.85,0.44,0.89,0.44,0.71,0.62,0.59,0.95,,,0.67,0.55,0.57,0.6,0.82,0.66,0.7,0.78,,,,,,,0.57,0.68,0.61,0.17,0.11,1,0.06,0.25,0.09,,,,0.29,0.71,0.73,0.15,,,,,0.32,,,,0.04,0.07,0.03,,,0.05,,,
Fairfield,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,,0.09,0.13,,0.1,0.27,0.11,,0.04,0.1
Fairfield,Total,Total,0.88,0.64,0.95,0.61,0.94,0.92,0.79,0.95,,,0.66,0.7,0.69,0.8,0.96,0.94,0.88,0.85,,0.96,0.84,0.02,0.21,0.03,0.69,0.73,0.77,0.05,0.06,0.96,0.07,0.22,0.07,,0.09,0.12,0.16,0.8,0.8,0.05,0.07,0.01,0.31,0.28,0.24,0.23,0.15,,0.04,0.06,,0.05,0.24,0.07,,0.02,0.04
Fairfield,Gender,Male,0.88,0.61,1,0.64,0.96,0.91,0.83,0.95,,,0.7,0.69,0.73,0.88,1,0.92,0.89,0.89,,,,,,,0.7,0.74,0.77,0.05,0.09,,0.08,0.18,0.09,,,,0.12,0.8,0.79,0.03,,,,,0.23,,,,0.03,0.08,,,,0.13,,,
Fairfield,Gender,Female,0.88,0.67,0.9,0.59,0.91,0.94,0.76,0.95,,,0.62,0.7,0.65,0.73,0.93,0.95,0.88,0.81,,,,,,,0.7,0.74,0.76,0.06,0.05,,0.05,0.25,0.05,,,,0.18,0.81,0.79,0.06,,,,,0.26,,,,0.04,0.05,,,,0.02,,,
Fairfield,Age,Under age 55,0.84,0.58,0.91,0.58,0.9,0.88,0.78,0.94,,,0.67,0.74,0.72,0.77,0.94,0.9,0.84,0.87,,,,,,,0.71,0.69,0.79,0.04,0.02,,0.08,0.28,0.1,,,,0.17,0.82,0.78,0.06,,,,,0.32,,,,0.05,0.09,,,,0.09,,,
Fairfield,Age,Age 55 or older,0.94,0.74,0.99,0.65,0.98,0.98,0.82,0.96,,,0.63,0.64,0.62,0.83,0.99,0.99,0.95,0.81,,,,,,,0.68,0.79,0.72,0.06,0.15,,0.05,0.14,0.02,,,,0.14,0.79,0.82,0.02,,,,,0.15,,,,0.02,0.03,,,,0.05,,,
Fairfield,Education,Some college or less,0.83,0.57,0.93,0.58,0.85,0.88,0.68,0.9,,,0.69,0.77,0.77,0.76,0.96,0.86,0.85,0.84,,,,,,,0.66,0.64,0.66,0.02,0.07,,0.07,0.18,0.09,,,,0.17,0.77,0.71,0.06,,,,,0.32,,,,0.06,0.12,,,,0.09,,,
Fairfield,Education,Bachelor's or higher,0.91,0.68,0.94,0.62,0.97,0.94,0.84,0.97,,,0.64,0.67,0.65,0.82,0.96,0.97,0.9,0.85,,,,,,,0.72,0.77,0.81,0.06,0.06,,0.07,0.23,0.06,,,,0.15,0.81,0.82,0.04,,,,,0.2,,,,0.02,0.04,,,,0.06,,,
Fairfield,Income,<$75K,0.83,0.62,0.9,0.57,0.87,0.87,0.69,0.87,,,0.78,0.71,0.64,0.78,0.89,0.85,0.75,0.74,,,,,,,0.54,0.57,0.57,0.08,0.11,,0.17,0.27,0.13,,,,0.18,0.66,0.58,0.11,,,,,0.45,,,,0.06,0.19,,,,0.09,,,
Fairfield,Income,$75K+,0.9,0.64,0.95,0.62,0.97,0.92,0.84,0.99,,,0.65,0.69,0.69,0.79,1,0.97,0.94,0.9,,,,,,,0.77,0.79,0.85,0.03,0.04,,0.02,0.22,0.05,,,,0.13,0.87,0.87,0.02,,,,,0.18,,,,0.03,0.02,,,,0.08,,,
Fairfield,With children,No children in household,0.91,0.66,0.93,0.58,0.94,0.98,0.74,0.95,,,0.62,0.7,0.68,0.82,0.96,0.91,0.86,0.87,,,,,,,0.71,0.74,0.73,0.06,0.08,,0.08,0.2,0.07,,,,0.15,0.78,0.76,0.05,,,,,0.23,,,,0.02,0.06,,,,0.09,,,
Fairfield,With children,Children in household,0.83,0.62,0.96,0.64,0.92,0.81,0.87,0.96,,,0.73,0.7,0.68,0.77,0.96,0.96,0.91,0.83,,,,,,,0.68,0.71,0.8,0.03,0.04,,0.05,0.26,0.07,,,,0.16,0.82,0.84,0.04,,,,,0.28,,,,0.06,0.08,,,,0.03,,,
Fairfield County,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,0.07,0.02,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,0.84,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,0.07,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,0.15,0.09,0.13,0.08,0.1,0.27,0.11,0.1,0.04,0.1
Fairfield County,Total,Total,0.83,0.55,0.8,0.55,0.76,0.78,0.72,0.9,0.07,0.01,0.58,0.58,0.57,0.68,0.86,0.8,0.8,0.7,0.84,0.89,0.66,0.1,0.26,0.1,0.63,0.69,0.71,0.12,0.09,0.94,0.09,0.22,0.08,0.06,0.09,0.13,0.23,0.78,0.71,0.08,0.12,0.05,0.25,0.2,0.3,0.29,0.13,0.15,0.09,0.11,0.07,0.1,0.29,0.1,0.07,0.05,0.09
Fairfield County,Gender,Male,0.84,0.54,0.82,0.59,0.78,0.78,0.74,0.9,0.06,0.01,0.58,0.6,0.59,0.73,0.87,0.81,0.81,0.73,0.87,0.9,0.64,0.09,0.27,0.1,0.63,0.7,0.7,0.12,0.1,0.93,0.09,0.19,0.06,0.03,0.06,0.14,0.23,0.76,0.71,0.09,0.13,0.05,0.28,0.23,0.28,0.26,0.12,0.14,0.09,0.1,0.06,0.08,0.27,0.14,0.08,0.04,0.07
Fairfield County,Gender,Female,0.83,0.55,0.79,0.53,0.75,0.78,0.72,0.89,0.08,0.02,0.57,0.57,0.54,0.64,0.85,0.79,0.8,0.67,0.82,0.9,0.66,0.1,0.26,0.1,0.65,0.69,0.71,0.11,0.07,0.95,0.09,0.25,0.09,0.08,0.11,0.11,0.24,0.78,0.71,0.08,0.1,0.04,0.22,0.17,0.32,0.31,0.14,0.17,0.09,0.13,0.07,0.11,0.29,0.05,0.06,0.05,0.11
Fairfield County,Age,Ages 18-34,0.81,0.48,0.71,0.52,0.66,0.71,0.74,0.83,0.07,0.01,0.69,0.69,0.61,0.68,0.78,0.71,0.73,0.63,0.81,0.87,0.64,0.16,0.33,0.16,0.65,0.6,0.64,0.16,0.03,0.9,0.12,0.3,0.11,0.1,0.1,0.26,0.26,0.7,0.66,0.15,0.15,0.07,0.28,0.19,0.39,0.43,0.16,0.23,0.14,0.19,0.08,0.14,0.19,0.12,0.11,0.04,0.13
Fairfield County,Age,Ages 35-49,0.82,0.52,0.78,0.54,0.72,0.77,0.7,0.92,0.08,0.02,0.62,0.6,0.57,0.73,0.84,0.78,0.8,0.74,0.79,0.86,0.67,0.1,0.21,0.11,0.66,0.65,0.7,0.13,0.04,0.94,0.09,0.26,0.08,0.05,0.08,0.17,0.21,0.76,0.66,0.07,0.12,0.06,0.25,0.18,0.32,0.33,0.15,0.12,0.08,0.13,0.07,0.11,0.32,0.11,0.09,0.06,0.09
Fairfield County,Age,Ages 50-64,0.83,0.56,0.84,0.57,0.81,0.79,0.73,0.91,0.08,0.03,0.49,0.5,0.54,0.68,0.9,0.84,0.84,0.74,0.89,0.93,0.66,0.05,0.25,0.06,0.64,0.72,0.73,0.11,0.11,0.95,0.08,0.22,0.08,0.06,0.09,0.07,0.22,0.82,0.72,0.07,0.12,0.04,0.3,0.25,0.3,0.21,0.11,0.11,0.07,0.09,0.07,0.09,0.37,0.09,0.06,0.05,0.08
Fairfield County,Age,Ages 65+,0.86,0.62,0.9,0.61,0.84,0.84,0.73,0.89,,,0.48,0.55,0.56,0.63,0.92,0.85,0.87,0.67,0.9,0.93,0.67,0.05,0.25,0.07,0.56,0.79,0.77,0.12,0.18,0.99,0.05,0.1,0.04,0.02,0.07,0.02,0.26,0.8,0.81,0.04,0.08,0.03,0.2,0.17,0.17,0.19,0.07,0.09,0.04,0.03,0.04,0.04,0.23,0.05,0.02,0.03,0.05
Fairfield County,Education,Bachelor's or higher,0.86,0.6,0.88,0.61,0.82,0.82,0.76,0.95,0.04,0,0.52,0.53,0.58,0.71,0.92,0.85,0.83,0.76,0.87,0.94,0.71,0.05,0.22,0.06,0.7,0.74,0.75,0.09,0.06,0.96,0.07,0.22,0.05,0.04,0.07,0.12,0.19,0.82,0.76,0.05,0.07,0.04,0.21,0.18,0.22,0.23,0.07,0.1,0.04,0.04,0.04,0.05,0.27,0.08,,0.03,0.06
Fairfield County,Education,High school or less,0.79,0.47,0.69,0.44,0.64,0.66,0.64,0.75,0.11,0.05,0.68,0.69,0.56,0.63,0.73,0.71,0.72,0.54,0.77,0.79,0.56,0.19,0.31,0.22,0.49,0.61,0.64,0.19,0.14,0.89,0.12,0.2,0.11,0.07,0.1,0.17,0.33,0.7,0.61,0.15,0.19,0.05,0.26,0.23,0.43,0.44,0.26,0.29,0.22,0.21,0.1,0.17,0.24,0.11,,0.05,0.11
Fairfield County,Education,Some college or Associate's,0.81,0.48,0.75,0.51,0.71,0.75,0.69,0.88,0.09,0.01,0.61,0.6,0.55,0.66,0.84,0.75,0.78,0.68,0.83,0.87,0.58,0.12,0.3,0.13,0.58,0.63,0.67,0.14,0.09,0.94,0.11,0.25,0.1,0.08,0.09,0.13,0.28,0.74,0.66,0.1,0.16,0.08,0.29,0.21,0.39,0.34,0.14,0.18,0.09,0.19,0.1,0.13,0.33,0.12,,0.07,0.14
